kp,ki,bias,integral_limit,mean_total_reward,worst_max_temperature_C,mean_abs_temp_error_C,mean_rms_temp_error_C,total_time_above_safe_s,mean_total_cooling_effort,mean_action_variation,any_failure
0.16,0.006,0.1,100.0,-257.8908566159035,37.654792114119374,2.3766119295186394,3.602658251158805,0.0,826.7856843935442,1.6858558505773544,False
0.2,0.006,0.1,75.0,-258.01973293440005,37.6709865953547,2.47395549008755,3.616538224801774,0.0,800.9142347398447,1.6322893500328064,False
0.1,0.006,0.2,100.0,-258.0254172291843,37.669324630030296,2.340325867322261,3.5982872553915506,0.0,836.070405907929,1.692650467157364,False
0.08,0.006,0.25,100.0,-258.06672095647247,37.66508640016292,2.3173171142664093,3.5951633786304633,0.0,844.3539463687921,1.7410520315170288,False
0.12,0.006,0.15,100.0,-258.17877720191916,37.67363197634416,2.367051186489907,3.602760940297018,0.0,828.8770895428024,1.6325773894786835,False
0.16,0.006,0.15,75.0,-258.56455787004796,37.74578042838587,2.457312492118317,3.617633842020169,0.0,806.4461825721082,1.5164524763822556,False
0.2,0.004,0.25,150.0,-258.5988922974501,37.67238275668901,2.3290618427320577,3.5981854414516015,0.0,848.7524393400527,1.868365541100502,False
0.1,0.006,0.25,75.0,-258.8836395354857,37.89716477042182,2.4046909611904383,3.6139397981602133,0.0,815.0068385155755,1.4287984520196915,False
0.2,0.004,0.15,100.0,-258.9347826563994,37.69002958952671,2.49662402505691,3.623664310819689,0.0,799.4611415270192,1.56358140707016,False
0.06,0.006,0.25,100.0,-259.12241708957606,37.74004963105612,2.3438256639652417,3.6035513919975486,0.0,839.1330273163912,1.7078611701726913,False
0.2,0.004,0.2,150.0,-259.12622913278426,37.70323303108396,2.3525630705280935,3.6039329018767066,0.0,842.9124722053821,1.8517555892467499,False
0.08,0.006,0.2,100.0,-259.2015766613042,37.7547595549632,2.369295174060446,3.6077897178009004,0.0,830.2094301546458,1.6352446228265762,False
0.16,0.006,0.05,100.0,-259.26158614861026,37.69525413595088,2.4351428038813028,3.616571202904589,0.0,817.4145981087349,1.602039098739624,False
0.2,0.004,0.2,75.0,-259.2674854517962,37.75659749608589,2.54080167817419,3.6328435831597172,0.0,784.3084219071607,1.5092490166425705,False
0.2,0.006,0.25,150.0,-259.2912050868357,37.685818957373115,2.322506078559013,3.599374210057609,0.0,853.2811138856923,1.8559736460447311,False
0.1,0.006,0.15,100.0,-259.4962558670143,37.767286539748966,2.3991878664246915,3.6134278169179046,0.0,822.7934057970124,1.5693236738443375,False
0.16,0.004,0.2,100.0,-259.579568041556,37.766243665658536,2.4832742503070397,3.625531454212076,0.0,804.9518697436606,1.4519272595643997,False
0.12,0.006,0.2,75.0,-259.6851667225077,37.890571399516986,2.4495464328579324,3.6228986424114593,0.0,809.2551098998811,1.4017857611179352,False
0.16,0.004,0.25,150.0,-259.717679718969,37.72758090425396,2.352968076167606,3.606155628863922,0.0,845.4372832611261,1.7915753424167633,False
0.2,0.002,0.25,150.0,-259.74779321086817,37.72046613440002,2.522200099125265,3.6314643728365983,0.0,797.5173688296636,1.4910183548927307,False
0.2,0.004,0.15,150.0,-259.7539938082167,37.73415809090965,2.3824140360192336,3.6110266741762946,0.0,836.2013170905411,1.815483570098877,False
0.2,0.006,0.2,150.0,-259.7984840045118,37.709907669900936,2.3291426882092305,3.602892379523902,0.0,852.2083492361126,1.8618290424346924,False
0.16,0.004,0.25,75.0,-259.9620597050398,37.86745725444315,2.5297238625656573,3.6354782697383623,0.0,787.9363114614098,1.3907866477966309,False
0.12,0.006,0.1,100.0,-260.04224326026616,37.778009235687016,2.434239664580288,3.620528835951605,0.0,816.9257013699971,1.5466526746749878,False
0.16,0.006,0.25,150.0,-260.2495206938133,37.73067871858593,2.3366824080885293,3.6054795030447946,0.0,852.4728167337016,1.74363674223423,False
0.16,0.004,0.2,150.0,-260.31931823403795,37.76081525285068,2.3810848249522216,3.6129909428930898,0.0,838.5319812573725,1.7569062262773514,False
0.2,0.006,0.15,150.0,-260.3229900168747,37.733855536347306,2.336179560867403,3.606537573048251,0.0,851.1504903885361,1.8705474585294724,False
0.2,0.004,0.1,150.0,-260.60624463251975,37.76527961241985,2.420882615037225,3.620278584391442,0.0,828.5185926675549,1.7841947376728058,False
0.2,0.006,0.05,75.0,-260.61891395001453,37.77189743014805,2.5649290019892867,3.6413616853337762,0.0,782.6621383118763,1.5896257609128952,False
